MSA,MSA_cities,MSA_states,Total_Eligible_Households_30,Total_Eligible_Households_30_NUMERIC,Total_Monthly_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Total_Annual_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Actual_Number_of_Vouchers_Available_2020_30,Actual_Number_of_Vouchers_Available_2020_30_NUMERIC,Estimated_Monthly_Expenditure_30,Estimated_Annual_Expenditure_30,Households_Served_Expected_to_Use_Voucher_30,Households_Served_Expected_to_Use_Voucher_30_NUMERIC,Annual_Cost_of_Vouchers_30,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_30,HUD_Avg_Monthly_Expenditure_per_HH_by_MSA_30,Annual_Administrative_Cost_30,Total_Eligible_Households_50,Total_Eligible_Households_50_NUMERIC,Total_Monthly_Cost_of_Vouchers_if_Only_Renters_Participate_50,Total_Annual_Cost_of_Vouchers_if_Only_Renters_Participate_50,Actual_Number_of_Vouchers_Available_2020_50,Actual_Number_of_Vouchers_Available_2020_50_NUMERIC,Estimated_Monthly_Expenditure_50,Estimated_Annual_Expenditure_50,Households_Served_Expected_to_Use_Voucher_50,Households_Served_Expected_to_Use_Voucher_50_NUMERIC,Annual_Cost_of_Vouchers_50,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_50,HUD_Avg_Monthly_Expenditure_per_HH_by_MSA_50,Annual_Administrative_Cost_50,Voucher_Gap_30,Voucher_Gap_50
"Bend-Redmond, OR",Bend-Redmond,OR,"4,449",4449,"$3,519,950 ","$42,239,400 ","1,116",1116,"$838,116 ","$10,057,392 ","1,717",1717,"$15,083,325 ","$15,471,640 ",$751 ,"$1,465,806 ","7,916",7916,"$5,334,331 ","$64,011,972 ","1,116",1116,"$838,116 ","$10,057,392 ","3,014",3014,"$23,108,656 ","$27,161,572 ",$751 ,"$2,573,327 ",3333,6800
"Binghamton, NY",Binghamton,NY,"10,179",10179,"$5,399,064 ","$64,788,768 ","1,640",1640,"$941,360 ","$11,296,320 ","3,699",3699,"$21,335,152 ","$25,476,054 ",$574 ,"$3,157,914 ","16,034",16034,"$7,406,800 ","$88,881,600 ","1,640",1640,"$941,360 ","$11,296,320 ","6,047",6047,"$31,237,044 ","$41,654,120 ",$574 ,"$5,163,285 ",8539,14394
"Birmingham-Hoover, AL",Birmingham-Hoover,AL,"32,467",32467,"$16,391,753 ","$196,701,036 ","9,516",9516,"$6,337,656 ","$76,051,872 ","12,325",12325,"$64,908,104 ","$98,500,528 ",$666 ,"$10,523,115 ","44,360",44360,"$21,159,218 ","$253,910,616 ","9,516",9516,"$6,337,656 ","$76,051,872 ","17,521",17521,"$86,462,488 ","$140,031,616 ",$666 ,"$14,960,010 ",22951,34844
"Bismarck, ND",Bismarck,ND,"3,221",3221,"$1,482,029 ","$17,784,348 ","1,784",1784,"$817,072 ","$9,804,864 ","1,323",1323,"$6,527,448 ","$7,270,407 ",$458 ,"$1,129,466 ","6,177",6177,"$2,792,243 ","$33,506,916 ","1,784",1784,"$817,072 ","$9,804,864 ","2,539",2539,"$13,379,160 ","$13,952,410 ",$458 ,"$2,167,523 ",1437,4393
"Blacksburg-Christiansburg-Radford, VA",Blacksburg-Christiansburg-Radford,VA,"7,471",7471,"$6,361,197 ","$76,334,364 ",938,938,"$715,694 ","$8,588,328 ","2,527",2527,"$23,072,186 ","$23,135,828 ",$763 ,"$2,157,449 ","9,765",9765,"$7,283,809 ","$87,405,708 ",938,938,"$715,694 ","$8,588,328 ","3,511",3511,"$26,595,814 ","$32,142,194 ",$763 ,"$2,997,305 ",6533,8827
"Bloomington, IL",Bloomington,IL,"7,432",7432,"$5,521,810 ","$66,261,720 ",760,760,"$424,080 ","$5,088,960 ","2,553",2553,"$21,442,900 ","$17,094,288 ",$558 ,"$2,179,700 ","10,091",10091,"$6,569,063 ","$78,828,756 ",760,760,"$424,080 ","$5,088,960 ","3,478",3478,"$25,460,000 ","$23,286,842 ",$558 ,"$2,969,316 ",6672,9331
"Bloomington, IN",Bloomington,IN,"8,527",8527,"$6,670,435 ","$80,045,220 ","1,478",1478,"$128,586 ","$1,543,032 ","2,770",2770,"$24,363,242 ","$2,891,821 ",$87 ,"$2,365,005 ","12,813",12813,"$8,683,602 ","$104,203,224 ","1,478",1478,"$128,586 ","$1,543,032 ","4,273",4273,"$32,126,860 ","$4,460,491 ",$87 ,"$3,647,904 ",7049,11335
"Boise City, ID",Boise City,ID,"18,009",18009,"$10,515,457 ","$126,185,484 ","2,973",2973,"$1,890,828 ","$22,689,936 ","6,750",6750,"$45,119,964 ","$51,512,844 ",$636 ,"$5,762,865 ","30,363",30363,"$15,051,698 ","$180,620,376 ","2,973",2973,"$1,890,828 ","$22,689,936 ","11,357",11357,"$64,615,784 ","$86,679,624 ",$636 ,"$9,697,056 ",15036,27390
"Boston-Cambridge-Newton, MA-NH",Boston-Cambridge-Newton,MA-NH,"202,729",202729,"$157,664,240 ","$1,891,970,880 ","65,649",65649,"$77,203,224 ","$926,438,688 ","63,394",63394,"$521,372,928 ","$894,621,376 ","$1,176 ","$54,126,748 ","307,911",307911,"$224,662,368 ","$2,695,948,416 ","65,649",65649,"$77,203,224 ","$926,438,688 ","93,507",93507,"$741,340,224 ","$1,319,573,120 ","$1,176 ","$79,837,360 ",137080,242262
"Bremerton-Silverdale, WA",Bremerton-Silverdale,WA,"6,491",6491,"$4,613,822 ","$55,365,864 ","2,137",2137,"$1,788,669 ","$21,464,028 ","2,457",2457,"$19,742,550 ","$24,676,794 ",$837 ,"$2,097,700 ","11,199",11199,"$6,962,914 ","$83,554,968 ","2,137",2137,"$1,788,669 ","$21,464,028 ","4,266",4266,"$30,326,614 ","$42,843,832 ",$837 ,"$3,642,024 ",4354,9062
