,MSA,Number.of.Vouchers.if.Only.Renters.Participate.x,Total.Monthly.Cost.of.Vouchers.if.Only.Renters.Participate.x,Total.Annual.Cost.of.Vouchers.if.Only.Renters.Participate.x,Actual.Number.of.Vouchers.Available.2020.x,Estimated.Monthly.Expenditure.x,Estimated.Annual.Expenditure.x,Number.of.Vouchers.x,Number.of.Vouchers.NUMERIC.x,Annual.Cost.of.Vouchers.x,Annual.Cost.of.Vouchers.Based.on.HUD.Average.Expenditure.x,HUD.Avg..Monthly.Expenditure.per.HH.by.MSA.x,Annual.Administrative.Cost.x,AMI.x,Number.of.Vouchers.if.Only.Renters.Participate.y,Total.Monthly.Cost.of.Vouchers.if.Only.Renters.Participate.y,Total.Annual.Cost.of.Vouchers.if.Only.Renters.Participate.y,Actual.Number.of.Vouchers.Available.2020.y,Estimated.Monthly.Expenditure.y,Estimated.Annual.Expenditure.y,Number.of.Vouchers.y,Number.of.Vouchers.NUMERIC.y,Annual.Cost.of.Vouchers.y,Annual.Cost.of.Vouchers.Based.on.HUD.Average.Expenditure.y,HUD.Avg..Monthly.Expenditure.per.HH.by.MSA.y,Annual.Administrative.Cost.y,AMI.y
111,"Joplin, MO","5,602","$2,327,979 ","$27,935,748 ","1,004","$374,492 ","$4,493,904 ","1,998",1998,"$8,775,003 ","$8,941,960 ",$373 ,"$1,705,705 ",30,"7,525","$3,074,021 ","$36,888,252 ","1,004","$374,492 ","$4,493,904 ","2,869",2869,"$12,744,498 ","$12,841,147 ",$373 ,"$2,449,486 ",50
112,"Kalamazoo-Portage, MI","11,636","$5,709,134 ","$68,509,608 ","1,295","$761,460 ","$9,137,520 ","4,478",4478,"$23,620,930 ","$31,599,032 ",$588 ,"$3,823,635 ",30,"19,746","$8,306,767 ","$99,681,204 ","1,295","$761,460 ","$9,137,520 ","7,553",7553,"$34,575,344 ","$53,293,108 ",$588 ,"$6,448,723 ",50
113,"Kankakee, IL","3,285","$1,897,494 ","$22,769,928 ",822,"$438,948 ","$5,267,376 ","1,207",1207,"$8,310,223 ","$7,732,133 ",$534 ,"$1,030,239 ",30,"4,975","$2,479,352 ","$29,752,224 ",822,"$438,948 ","$5,267,376 ","1,862",1862,"$10,868,602 ","$11,930,366 ",$534 ,"$1,589,617 ",50
114,"Kansas City, MO-KS","64,435","$34,879,008 ","$418,548,096 ","17,030","$10,218,000 ","$122,616,000 ","24,452",24452,"$145,208,832 ","$176,052,608 ",$600 ,"$20,877,150 ",30,"113,693","$53,623,844 ","$643,486,128 ","17,030","$10,218,000 ","$122,616,000 ","42,640",42640,"$226,571,280 ","$307,008,896 ",$600 ,"$36,406,564 ",50
115,"Knoxville, TN","28,135","$12,511,032 ","$150,132,384 ","6,164","$3,679,908 ","$44,158,896 ","10,955",10955,"$50,043,216 ","$78,484,576 ",$597 ,"$9,353,841 ",30,"36,257","$15,258,921 ","$183,107,052 ","6,164","$3,679,908 ","$44,158,896 ","14,513",14513,"$62,263,772 ","$103,972,400 ",$597 ,"$12,391,495 ",50
116,"La Crosse-Onalaska, WI-MN","4,154","$2,548,215 ","$30,578,580 ",219,"$107,091 ","$1,285,092 ","1,482",1482,"$10,330,106 ","$8,698,862 ",$489 ,"$1,265,708 ",30,"7,554","$4,294,933 ","$51,539,196 ",219,"$107,091 ","$1,285,092 ","2,748",2748,"$18,482,510 ","$16,126,079 ",$489 ,"$2,346,389 ",50
117,"Lafayette-West Lafayette, IN","9,226","$6,421,858 ","$77,062,296 ","1,462","$763,164 ","$9,157,968 ","2,994",2994,"$23,557,778 ","$18,755,884 ",$522 ,"$2,556,507 ",30,"14,293","$8,017,297 ","$96,207,564 ","1,462","$763,164 ","$9,157,968 ","4,736",4736,"$30,007,442 ","$29,664,108 ",$522 ,"$4,043,345 ",50
118,"Lafayette, LA","16,628","$7,778,052 ","$93,336,624 ","3,556","$1,785,112 ","$21,421,344 ","6,538",6538,"$30,508,916 ","$39,386,480 ",$502 ,"$5,582,433 ",30,"21,083","$9,078,274 ","$108,939,288 ","3,556","$1,785,112 ","$21,421,344 ","8,598",8598,"$36,296,868 ","$51,794,976 ",$502 ,"$7,341,148 ",50
119,"Lake Havasu City-Kingman, AZ","4,532","$2,060,086 ","$24,721,032 ",547,"$324,371 ","$3,892,452 ","1,972",1972,"$8,388,461 ","$14,030,734 ",$593 ,"$1,683,471 ",30,"6,978","$2,886,235 ","$34,634,820 ",547,"$324,371 ","$3,892,452 ","3,116",3116,"$12,676,825 ","$22,173,740 ",$593 ,"$2,660,506 ",50
120,"Lakeland-Winter Haven, FL","15,347","$9,542,416 ","$114,508,992 ","2,157","$1,639,320 ","$19,671,840 ","5,670",5670,"$38,907,192 ","$51,713,600 ",$760 ,"$4,841,403 ",30,"22,008","$12,224,755 ","$146,697,060 ","2,157","$1,639,320 ","$19,671,840 ","8,557",8557,"$51,677,504 ","$78,040,728 ",$760 ,"$7,306,135 ",50
