,MSA,Number.of.Vouchers.if.Only.Renters.Participate.x,Total.Monthly.Cost.of.Vouchers.if.Only.Renters.Participate.x,Total.Annual.Cost.of.Vouchers.if.Only.Renters.Participate.x,Actual.Number.of.Vouchers.Available.2020.x,Estimated.Monthly.Expenditure.x,Estimated.Annual.Expenditure.x,Number.of.Vouchers.x,Number.of.Vouchers.NUMERIC.x,Annual.Cost.of.Vouchers.x,Annual.Cost.of.Vouchers.Based.on.HUD.Average.Expenditure.x,HUD.Avg..Monthly.Expenditure.per.HH.by.MSA.x,Annual.Administrative.Cost.x,AMI.x,Number.of.Vouchers.if.Only.Renters.Participate.y,Total.Monthly.Cost.of.Vouchers.if.Only.Renters.Participate.y,Total.Annual.Cost.of.Vouchers.if.Only.Renters.Participate.y,Actual.Number.of.Vouchers.Available.2020.y,Estimated.Monthly.Expenditure.y,Estimated.Annual.Expenditure.y,Number.of.Vouchers.y,Number.of.Vouchers.NUMERIC.y,Annual.Cost.of.Vouchers.y,Annual.Cost.of.Vouchers.Based.on.HUD.Average.Expenditure.y,HUD.Avg..Monthly.Expenditure.per.HH.by.MSA.y,Annual.Administrative.Cost.y,AMI.y
151,"Monroe, MI","3,520","$1,358,161 ","$16,297,932 ",604,"$359,984 ","$4,319,808 ","1,405",1405,"$6,034,579 ","$10,046,429 ",$596 ,"$1,199,349 ",30,"6,302","$2,312,155 ","$27,745,860 ",604,"$359,984 ","$4,319,808 ","2,535",2535,"$10,633,735 ","$18,132,378 ",$596 ,"$2,164,654 ",50
152,"Montgomery, AL","13,800","$7,211,265 ","$86,535,180 ","3,513","$2,055,105 ","$24,661,260 ","5,186",5186,"$27,245,146 ","$36,408,812 ",$585 ,"$4,428,235 ",30,"21,569","$10,003,855 ","$120,046,260 ","3,513","$2,055,105 ","$24,661,260 ","8,224",8224,"$39,291,212 ","$57,733,544 ",$585 ,"$7,021,863 ",50
153,"Morgantown, WV","5,936","$4,246,239 ","$50,954,868 ",779,"$401,185 ","$4,814,220 ","2,086",2086,"$15,613,441 ","$12,889,056 ",$515 ,"$1,780,713 ",30,"8,658","$5,197,522 ","$62,370,264 ",779,"$401,185 ","$4,814,220 ","3,087",3087,"$19,680,712 ","$19,078,116 ",$515 ,"$2,635,775 ",50
154,"Muncie, IN","6,062","$3,170,139 ","$38,041,668 ","1,124","$531,652 ","$6,379,824 ","2,103",2103,"$12,420,062 ","$11,936,330 ",$473 ,"$1,795,518 ",30,"8,522","$3,879,163 ","$46,549,956 ","1,124","$531,652 ","$6,379,824 ","3,017",3017,"$15,420,528 ","$17,121,814 ",$473 ,"$2,575,542 ",50
155,"Muskegon, MI","4,758","$1,987,133 ","$23,845,596 ",979,"$568,799 ","$6,825,588 ","1,737",1737,"$8,043,366 ","$12,107,952 ",$581 ,"$1,482,773 ",30,"7,487","$2,784,681 ","$33,416,172 ",979,"$568,799 ","$6,825,588 ","2,832",2832,"$11,864,542 ","$19,744,570 ",$581 ,"$2,417,974 ",50
156,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","10,192","$5,720,278 ","$68,643,336 ","1,857","$1,266,474 ","$15,197,688 ","4,080",4080,"$23,454,710 ","$33,393,128 ",$682 ,"$3,483,796 ",30,"15,156","$8,046,627 ","$96,559,524 ","1,857","$1,266,474 ","$15,197,688 ","6,105",6105,"$34,301,368 ","$49,962,664 ",$682 ,"$5,212,442 ",50
157,"Napa, CA","2,901","$2,368,708 ","$28,424,496 ","1,404","$1,402,596 ","$16,831,152 ","1,289",1289,"$10,656,029 ","$15,453,310 ",$999 ,"$1,100,617 ",30,"5,692","$4,438,830 ","$53,265,960 ","1,404","$1,402,596 ","$16,831,152 ","2,258",2258,"$19,299,140 ","$27,072,430 ",$999 ,"$1,928,154 ",50
158,"Naples-Immokalee-Marco Island, FL","6,741","$6,108,285 ","$73,299,420 ",453,"$404,076 ","$4,848,912 ","2,591",2591,"$26,990,302 ","$27,730,648 ",$892 ,"$2,211,949 ",30,"12,459","$9,499,154 ","$113,989,848 ",453,"$404,076 ","$4,848,912 ","4,808",4808,"$42,312,568 ","$51,460,432 ",$892 ,"$4,104,768 ",50
159,"Nashville-Davidson--Murfreesboro--Franklin, TN","55,407","$32,248,746 ","$386,984,952 ","11,151","$8,006,418 ","$96,077,016 ","20,470",20470,"$128,360,704 ","$176,365,440 ",$718 ,"$17,477,086 ",30,"94,054","$49,018,196 ","$588,218,352 ","11,151","$8,006,418 ","$96,077,016 ","34,541",34541,"$198,302,608 ","$297,604,064 ",$718 ,"$29,491,334 ",50
160,"New Haven-Milford, CT","40,289","$26,812,672 ","$321,752,064 ","15,408","$15,315,552 ","$183,786,624 ","15,364",15364,"$112,064,864 ","$183,257,952 ",$994 ,"$13,117,662 ",30,"63,934","$38,391,952 ","$460,703,424 ","15,408","$15,315,552 ","$183,786,624 ","24,238",24238,"$161,909,904 ","$289,105,888 ",$994 ,"$20,694,288 ",50
161,"New Orleans-Metairie, LA","49,590","$32,110,768 ","$385,329,216 ","27,196","$22,763,052 ","$273,156,624 ","18,436",18436,"$124,472,608 ","$185,167,600 ",$837 ,"$15,740,536 ",30,"74,712","$42,758,408 ","$513,100,896 ","27,196","$22,763,052 ","$273,156,624 ","28,272",28272,"$170,414,336 ","$283,961,216 ",$837 ,"$24,138,684 ",50
162,"New York-Newark-Jersey City, NY-NJ-PA","959,208","$770,196,032 ","$9,242,352,384 ","251,284","$279,679,092 ","$3,356,149,104 ","341,333",341333,"$2,958,054,912 ","$4,558,839,808 ","$1,113 ","$291,433,280 ",30,"1,485,248","$1,104,862,848 ","$13,258,354,176 ","251,284","$279,679,092 ","$3,356,149,104 ","514,343",514343,"$4,217,782,016 ","$6,869,571,072 ","$1,113 ","$439,151,584 ",50
163,"Niles-Benton Harbor, MI","5,567","$2,493,469 ","$29,921,628 ",837,"$430,218 ","$5,162,616 ","2,057",2057,"$10,084,997 ","$12,689,536 ",$514 ,"$1,756,559 ",30,"9,015","$3,504,027 ","$42,048,324 ",837,"$430,218 ","$5,162,616 ","3,384",3384,"$14,556,569 ","$20,869,542 ",$514 ,"$2,888,882 ",50
164,"North Port-Sarasota-Bradenton, FL","12,801","$10,628,579 ","$127,542,948 ","3,241","$2,997,925 ","$35,975,100 ","5,343",5343,"$47,808,708 ","$59,308,616 ",$925 ,"$4,562,008 ",30,"24,621","$17,923,696 ","$215,084,352 ","3,241","$2,997,925 ","$35,975,100 ","10,231",10231,"$83,647,504 ","$113,566,272 ",$925 ,"$8,735,498 ",50
165,"Norwich-New London, CT","9,133","$4,964,045 ","$59,568,540 ","1,369","$1,274,539 ","$15,294,468 ","3,520",3520,"$20,348,046 ","$39,323,904 ",$931 ,"$3,005,294 ",30,"16,093","$7,936,324 ","$95,235,888 ","1,369","$1,274,539 ","$15,294,468 ","6,114",6114,"$32,832,240 ","$68,302,224 ",$931 ,"$5,219,936 ",50
166,"Ocala, FL","7,244","$4,429,928 ","$53,159,136 ","1,392","$814,320 ","$9,771,840 ","2,816",2816,"$17,397,188 ","$19,770,454 ",$585 ,"$2,404,589 ",30,"9,304","$5,569,107 ","$66,829,284 ","1,392","$814,320 ","$9,771,840 ","3,807",3807,"$23,383,328 ","$26,728,476 ",$585 ,"$3,250,861 ",50
167,"Ocean City, NJ","2,646","$1,794,205 ","$21,530,460 ",359,"$322,741 ","$3,872,892 ","1,067",1067,"$7,455,010 ","$11,511,862 ",$899 ,"$911,100 ",30,"4,745","$3,000,329 ","$36,003,948 ",359,"$322,741 ","$3,872,892 ","1,945",1945,"$12,627,908 ","$20,986,006 ",$899 ,"$1,660,925 ",50
168,"Odessa, TX","3,063","$1,833,135 ","$21,997,620 ","1,037","$956,114 ","$11,473,368 ","1,132",1132,"$6,895,877 ","$12,523,305 ",$922 ,"$966,425 ",30,"5,347","$2,869,549 ","$34,434,588 ","1,037","$956,114 ","$11,473,368 ","1,983",1983,"$11,176,826 ","$21,943,782 ",$922 ,"$1,693,404 ",50
169,"Ogden-Clearfield, UT","9,196","$4,728,784 ","$56,745,408 ","2,570","$1,655,080 ","$19,860,960 ","3,462",3462,"$19,678,836 ","$26,753,050 ",$644 ,"$2,955,748 ",30,"16,713","$7,717,693 ","$92,612,316 ","2,570","$1,655,080 ","$19,860,960 ","6,014",6014,"$31,262,224 ","$46,477,460 ",$644 ,"$5,134,954 ",50
170,"Oklahoma City, OK","44,881","$23,082,458 ","$276,989,496 ","13,078","$7,349,836 ","$88,198,032 ","13,710",13710,"$76,969,416 ","$92,462,960 ",$562 ,"$11,706,080 ",30,"77,017","$34,254,420 ","$411,053,040 ","13,078","$7,349,836 ","$88,198,032 ","23,785",23785,"$117,901,760 ","$160,405,344 ",$562 ,"$20,307,784 ",50
171,"Olympia-Tumwater, WA","7,254","$5,569,805 ","$66,837,660 ","2,178","$1,768,536 ","$21,222,432 ","2,597",2597,"$22,611,504 ","$25,302,222 ",$812 ,"$2,217,087 ",30,"13,510","$8,716,259 ","$104,595,108 ","2,178","$1,768,536 ","$21,222,432 ","4,874",4874,"$36,049,884 ","$47,487,564 ",$812 ,"$4,161,059 ",50
172,"Omaha-Council Bluffs, NE-IA","32,844","$17,649,512 ","$211,794,144 ","7,711","$5,143,237 ","$61,718,844 ","12,369",12369,"$75,914,512 ","$98,999,944 ",$667 ,"$10,560,612 ",30,"57,802","$27,285,466 ","$327,425,592 ","7,711","$5,143,237 ","$61,718,844 ","21,330",21330,"$117,136,040 ","$170,726,896 ",$667 ,"$18,211,936 ",50
173,"Orlando-Kissimmee-Sanford, FL","61,059","$50,568,576 ","$606,822,912 ","6,829","$7,450,439 ","$89,405,268 ","21,863",21863,"$200,721,552 ","$286,229,344 ","$1,091 ","$18,666,780 ",30,"106,339","$75,544,936 ","$906,539,232 ","6,829","$7,450,439 ","$89,405,268 ","38,201",38201,"$304,354,784 ","$500,128,864 ","$1,091 ","$32,616,486 ",50
174,"Oshkosh-Neenah, WI","5,573","$2,199,156 ","$26,389,872 ",510,"$217,260 ","$2,607,120 ","1,995",1995,"$8,684,704 ","$10,200,753 ",$426 ,"$1,703,737 ",30,"10,397","$3,660,018 ","$43,920,216 ",510,"$217,260 ","$2,607,120 ","3,894",3894,"$15,134,367 ","$19,906,628 ",$426 ,"$3,324,820 ",50
175,"Owensboro, KY","3,976","$1,700,982 ","$20,411,784 ",465,"$209,250 ","$2,511,000 ","1,485",1485,"$6,924,939 ","$8,020,327 ",$450 ,"$1,268,118 ",30,"5,952","$2,346,030 ","$28,152,360 ",465,"$209,250 ","$2,511,000 ","2,255",2255,"$9,820,457 ","$12,176,307 ",$450 ,"$1,925,232 ",50
176,"Oxnard-Thousand Oaks-Ventura, CA","20,056","$19,148,018 ","$229,776,216 ","7,092","$8,063,604 ","$96,763,248 ","5,591",5591,"$58,040,488 ","$76,280,152 ","$1,137 ","$4,773,436 ",30,"37,289","$32,674,904 ","$392,098,848 ","7,092","$8,063,604 ","$96,763,248 ","9,844",9844,"$97,006,464 ","$134,314,256 ","$1,137 ","$8,405,077 ",50
177,"Palm Bay-Melbourne-Titusville, FL","10,550","$7,025,035 ","$84,300,420 ","2,953","$2,264,951 ","$27,179,412 ","4,220",4220,"$29,697,398 ","$38,838,644 ",$767 ,"$3,602,871 ",30,"18,874","$10,918,009 ","$131,016,108 ","2,953","$2,264,951 ","$27,179,412 ","7,647",7647,"$47,862,352 ","$70,380,392 ",$767 ,"$6,528,844 ",50
178,"Parkersburg-Vienna, WV","3,217","$1,408,211 ","$16,898,532 ","1,189","$576,665 ","$6,919,980 ","1,255",1255,"$5,325,386 ","$7,302,050 ",$485 ,"$1,071,231 ",30,"4,731","$1,794,499 ","$21,533,988 ","1,189","$576,665 ","$6,919,980 ","1,887",1887,"$7,110,113 ","$10,983,574 ",$485 ,"$1,611,321 ",50
179,"Pensacola-Ferry Pass-Brent, FL","10,760","$6,620,841 ","$79,450,092 ","2,699","$1,935,183 ","$23,222,196 ","4,110",4110,"$27,411,228 ","$35,363,616 ",$717 ,"$3,509,276 ",30,"18,828","$9,491,585 ","$113,899,020 ","2,699","$1,935,183 ","$23,222,196 ","7,302",7302,"$39,849,464 ","$62,828,020 ",$717 ,"$6,234,681 ",50
180,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","212,868","$149,570,944 ","$1,794,851,328 ","48,811","$38,951,178 ","$467,414,136 ","49,679",49679,"$379,912,704 ","$475,721,920 ",$798 ,"$42,416,052 ",30,"331,602","$208,681,520 ","$2,504,178,240 ","48,811","$38,951,178 ","$467,414,136 ","77,169",77169,"$539,655,104 ","$738,965,888 ",$798 ,"$65,887,264 ",50
181,"Phoenix-Mesa-Scottsdale, AZ","116,605","$81,232,840 ","$974,794,080 ","14,675","$13,266,200 ","$159,194,400 ","51,142",51142,"$391,617,952 ","$554,786,368 ",$904 ,"$43,665,388 ",30,"193,630","$117,375,048 ","$1,408,500,576 ","14,675","$13,266,200 ","$159,194,400 ","85,178",85178,"$577,220,672 ","$924,015,296 ",$904 ,"$72,726,168 ",50
182,"Pittsburgh, PA","79,008","$38,183,632 ","$458,203,584 ","20,645","$11,912,165 ","$142,945,980 ","25,236",25236,"$127,653,240 ","$174,730,640 ",$577 ,"$21,546,328 ",30,"130,422","$57,592,104 ","$691,105,248 ","20,645","$11,912,165 ","$142,945,980 ","42,120",42120,"$200,804,912 ","$291,641,472 ",$577 ,"$35,962,796 ",50
183,"Pittsfield, MA","5,655","$2,776,191 ","$33,314,292 ","1,882","$1,099,088 ","$13,189,056 ","2,211",2211,"$11,562,166 ","$15,492,039 ",$584 ,"$1,887,451 ",30,"8,632","$3,708,450 ","$44,501,400 ","1,882","$1,099,088 ","$13,189,056 ","3,423",3423,"$15,836,455 ","$23,991,094 ",$584 ,"$2,922,922 ",50
184,"Port St. Lucie, FL","8,745","$6,034,381 ","$72,412,572 ",938,"$663,166 ","$7,957,992 ","3,311",3311,"$25,650,222 ","$28,091,456 ",$707 ,"$2,827,059 ",30,"14,244","$9,221,425 ","$110,657,100 ",938,"$663,166 ","$7,957,992 ","5,628",5628,"$41,231,328 ","$47,745,540 ",$707 ,"$4,805,000 ",50
185,"Portland-South Portland, ME","12,537","$6,663,973 ","$79,967,676 ","5,865","$5,131,875 ","$61,582,500 ","5,027",5027,"$27,410,806 ","$52,786,708 ",$875 ,"$4,292,364 ",30,"21,883","$10,405,809 ","$124,869,708 ","5,865","$5,131,875 ","$61,582,500 ","8,921",8921,"$44,785,516 ","$93,669,080 ",$875 ,"$7,616,724 ",50
186,"Portland-Vancouver-Hillsboro, OR-WA","70,484","$53,738,372 ","$644,860,464 ","21,748","$19,877,672 ","$238,532,064 ","27,201",27201,"$232,604,432 ","$298,336,704 ",$914 ,"$23,224,186 ",30,"126,168","$83,611,576 ","$1,003,338,912 ","21,748","$19,877,672 ","$238,532,064 ","47,703",47703,"$361,676,032 ","$523,206,560 ",$914 ,"$40,729,300 ",50
187,"Prescott, AZ","5,840","$3,596,142 ","$43,153,704 ",, $-   ,#VALUE!,"2,413",2413,"$16,919,296 ", $-   ,,"$2,059,907 ",30,"9,820","$5,197,074 ","$62,364,888 ",, $-   ,#VALUE!,"4,216",4216,"$24,851,898 ", $-   ,,"$3,599,336 ",50
188,"Providence-Warwick, RI-MA","69,927","$35,752,560 ","$429,030,720 ","17,965","$14,497,755 ","$173,973,060 ","27,653",27653,"$151,301,424 ","$267,794,720 ",$807 ,"$23,610,678 ",30,"111,393","$53,991,068 ","$647,892,816 ","17,965","$14,497,755 ","$173,973,060 ","43,957",43957,"$234,542,448 ","$425,680,064 ",$807 ,"$37,530,968 ",50
189,"Provo-Orem, UT","10,650","$7,363,760 ","$88,365,120 ","1,962","$1,314,540 ","$15,774,480 ","3,717",3717,"$28,993,560 ","$29,881,760 ",$670 ,"$3,173,302 ",30,"19,907","$11,111,734 ","$133,340,808 ","1,962","$1,314,540 ","$15,774,480 ","6,732",6732,"$44,098,656 ","$54,122,664 ",$670 ,"$5,747,571 ",50
190,"Pueblo, CO","7,343","$3,760,331 ","$45,123,972 ","1,985","$1,282,310 ","$15,387,720 ","2,652",2652,"$14,859,366 ","$20,560,238 ",$646 ,"$2,264,517 ",30,"10,742","$4,865,558 ","$58,386,696 ","1,985","$1,282,310 ","$15,387,720 ","4,017",4017,"$20,010,472 ","$31,137,916 ",$646 ,"$3,429,549 ",50
191,"Punta Gorda, FL","2,386","$1,759,209 ","$21,110,508 ",311,"$226,097 ","$2,713,164 ","1,008",1008,"$7,849,959 ","$8,793,494 ",$727 ,"$860,611 ",30,"4,250","$2,693,964 ","$32,327,568 ",311,"$226,097 ","$2,713,164 ","1,885",1885,"$12,946,324 ","$16,441,103 ",$727 ,"$1,609,076 ",50
192,"Racine, WI","6,437","$3,460,630 ","$41,527,560 ","1,703","$917,917 ","$11,015,004 ","2,374",2374,"$14,728,524 ","$15,352,088 ",$539 ,"$2,026,556 ",30,"11,586","$5,248,058 ","$62,976,696 ","1,703","$917,917 ","$11,015,004 ","4,346",4346,"$22,763,982 ","$28,111,934 ",$539 ,"$3,710,923 ",50
193,"Raleigh, NC","38,815","$23,013,386 ","$276,160,632 ","5,300","$3,837,200 ","$46,046,400 ","14,672",14672,"$94,516,632 ","$127,466,816 ",$724 ,"$12,526,754 ",30,"70,338","$36,548,820 ","$438,585,840 ","5,300","$3,837,200 ","$46,046,400 ","25,856",25856,"$150,404,080 ","$224,636,080 ",$724 ,"$22,076,026 ",50
194,"Reading, PA","11,350","$5,934,351 ","$71,212,212 ","1,313","$919,100 ","$11,029,200 ","4,226",4226,"$24,507,282 ","$35,499,400 ",$700 ,"$3,608,303 ",30,"19,419","$8,964,066 ","$107,568,792 ","1,313","$919,100 ","$11,029,200 ","7,499",7499,"$38,411,428 ","$62,994,288 ",$700 ,"$6,402,995 ",50
195,"Redding, CA","6,056","$3,544,262 ","$42,531,144 ","2,401","$1,164,485 ","$13,973,820 ","2,302",2302,"$14,789,253 ","$13,399,921 ",$485 ,"$1,965,805 ",30,"9,367","$5,099,574 ","$61,194,888 ","2,401","$1,164,485 ","$13,973,820 ","3,673",3673,"$22,290,612 ","$21,379,398 ",$485 ,"$3,136,416 ",50
196,"Reno, NV","14,174","$8,333,493 ","$100,001,916 ","2,830","$1,794,220 ","$21,530,640 ","5,407",5407,"$35,491,928 ","$41,135,924 ",$634 ,"$4,616,491 ",30,"25,989","$13,228,169 ","$158,738,028 ","2,830","$1,794,220 ","$21,530,640 ","9,826",9826,"$56,834,216 ","$74,757,472 ",$634 ,"$8,389,679 ",50
197,"Richmond, VA","38,661","$24,781,736 ","$297,380,832 ","7,726","$5,840,856 ","$70,090,272 ","14,529",14529,"$103,047,016 ","$131,803,192 ",$756 ,"$12,404,639 ",30,"65,955","$37,096,200 ","$445,154,400 ","7,726","$5,840,856 ","$70,090,272 ","24,853",24853,"$155,837,552 ","$225,469,856 ",$756 ,"$21,220,064 ",50
198,"Riverside-San Bernardino-Ontario, CA","111,592","$88,475,248 ","$1,061,702,976 ","21,077","$17,409,602 ","$208,915,224 ","40,788",40788,"$354,866,208 ","$404,291,520 ",$826 ,"$34,825,276 ",30,"177,623","$126,505,096 ","$1,518,061,152 ","21,077","$17,409,602 ","$208,915,224 ","66,096",66096,"$519,444,512 ","$655,140,224 ",$826 ,"$56,433,140 ",50
199,"Roanoke, VA","11,472","$5,510,895 ","$66,130,740 ","2,285","$1,434,980 ","$17,219,760 ","4,196",4196,"$22,544,200 ","$31,621,580 ",$628 ,"$3,582,646 ",30,"17,382","$7,746,015 ","$92,952,180 ","2,285","$1,434,980 ","$17,219,760 ","6,584",6584,"$33,241,664 ","$49,615,208 ",$628 ,"$5,621,280 ",50
200,"Rochester, NY","41,586","$22,588,912 ","$271,066,944 ","13,515","$8,960,445 ","$107,525,340 ","15,341",15341,"$93,079,744 ","$122,054,240 ",$663 ,"$13,098,433 ",30,"66,749","$32,674,112 ","$392,089,344 ","13,515","$8,960,445 ","$107,525,340 ","25,268",25268,"$140,794,256 ","$201,034,512 ",$663 ,"$21,574,318 ",50
201,"Rockford, IL","11,638","$5,556,478 ","$66,677,736 ","3,056","$1,509,664 ","$18,115,968 ","4,174",4174,"$21,510,528 ","$24,745,086 ",$494 ,"$3,564,036 ",30,"18,047","$7,981,882 ","$95,782,584 ","3,056","$1,509,664 ","$18,115,968 ","6,761",6761,"$33,410,128 ","$40,076,708 ",$494 ,"$5,772,250 ",50
202,"Rocky Mount, NC","5,605","$2,200,552 ","$26,406,624 ",893,"$412,566 ","$4,950,792 ","2,391",2391,"$9,178,223 ","$13,256,747 ",$462 ,"$2,041,620 ",30,"7,629","$2,780,640 ","$33,367,680 ",893,"$412,566 ","$4,950,792 ","3,326",3326,"$12,056,906 ","$18,436,706 ",$462 ,"$2,839,366 ",50
203,"Sacramento--Roseville--Arden-Arcade, CA","77,103","$60,616,944 ","$727,403,328 ","15,668","$13,991,524 ","$167,898,288 ","33,672",33672,"$291,597,504 ","$360,827,520 ",$893 ,"$28,749,360 ",30,"127,757","$87,677,496 ","$1,052,129,952 ","15,668","$13,991,524 ","$167,898,288 ","55,242",55242,"$426,241,536 ","$591,972,608 ",$893 ,"$47,166,120 ",50
204,"Saginaw, MI","6,788","$3,041,814 ","$36,501,768 ","2,018","$986,802 ","$11,841,624 ","2,441",2441,"$11,869,623 ","$14,324,310 ",$489 ,"$2,084,226 ",30,"9,468","$3,897,768 ","$46,773,216 ","2,018","$986,802 ","$11,841,624 ","3,454",3454,"$15,755,355 ","$20,269,784 ",$489 ,"$2,949,309 ",50
205,"Salinas, CA","12,521","$10,533,889 ","$126,406,668 ","4,545","$5,090,400 ","$61,084,800 ","4,674",4674,"$42,955,336 ","$62,818,440 ","$1,120 ","$3,990,700 ",30,"24,189","$18,156,510 ","$217,878,120 ","4,545","$5,090,400 ","$61,084,800 ","8,652",8652,"$73,038,680 ","$116,289,184 ","$1,120 ","$7,387,565 ",50
206,"Salisbury, MD-DE","9,390","$5,397,635 ","$64,771,620 ","1,451","$1,049,073 ","$12,588,876 ","3,580",3580,"$21,570,908 ","$31,062,022 ",$723 ,"$3,056,831 ",30,"16,304","$8,424,465 ","$101,093,580 ","1,451","$1,049,073 ","$12,588,876 ","6,314",6314,"$34,236,416 ","$54,784,008 ",$723 ,"$5,391,325 ",50
207,"Salt Lake City, UT","23,189","$14,341,856 ","$172,102,272 ","6,464","$5,184,128 ","$62,209,536 ","8,637",8637,"$58,031,120 ","$83,118,232 ",$802 ,"$7,373,980 ",30,"40,406","$22,061,160 ","$264,733,920 ","6,464","$5,184,128 ","$62,209,536 ","14,817",14817,"$89,739,272 ","$142,599,984 ",$802 ,"$12,651,007 ",50
208,"San Angelo, TX","2,623","$1,214,885 ","$14,578,620 ",832,"$457,600 ","$5,491,200 ","1,017",1017,"$4,690,075 ","$6,709,909 ",$550 ,"$868,028 ",30,"4,711","$2,043,031 ","$24,516,372 ",832,"$457,600 ","$5,491,200 ","1,862",1862,"$8,233,819 ","$12,292,202 ",$550 ,"$1,590,183 ",50
209,"San Antonio-New Braunfels, TX","63,799","$36,342,288 ","$436,107,456 ","16,965","$11,213,865 ","$134,566,380 ","23,902",23902,"$144,548,352 ","$189,590,272 ",$661 ,"$20,407,724 ",30,"104,137","$53,050,300 ","$636,603,600 ","16,965","$11,213,865 ","$134,566,380 ","38,488",38488,"$212,875,744 ","$305,287,712 ",$661 ,"$32,861,532 ",50
210,"San Diego-Carlsbad, CA","120,285","$117,922,200 ","$1,415,066,400 ","31,412","$30,595,288 ","$367,143,456 ","58,069",58069,"$631,116,992 ","$678,713,920 ",$974 ,"$49,580,140 ",30,"212,827","$186,366,096 ","$2,236,393,152 ","31,412","$30,595,288 ","$367,143,456 ","99,067",99067,"$984,831,104 ","$1,157,896,064 ",$974 ,"$84,584,472 ",50
211,"San Francisco-Oakland-Hayward, CA","175,883","$164,242,240 ","$1,970,906,880 ","56,721","$104,253,198 ","$1,251,038,376 ","38,584",38584,"$387,844,672 ","$851,019,648 ","$1,838 ","$32,943,826 ",30,"276,025","$243,526,096 ","$2,922,313,152 ","56,721","$104,253,198 ","$1,251,038,376 ","58,093",58093,"$568,197,120 ","$1,281,308,672 ","$1,838 ","$49,600,748 ",50
212,"San Jose-Sunnyvale-Santa Clara, CA","41,956","$48,313,968 ","$579,767,616 ","18,977","$35,809,599 ","$429,715,188 ","17,536",17536,"$217,972,064 ","$397,080,448 ","$1,887 ","$14,972,234 ",30,"72,864","$77,804,696 ","$933,656,352 ","18,977","$35,809,599 ","$429,715,188 ","28,759",28759,"$340,669,792 ","$651,225,216 ","$1,887 ","$24,554,964 ",50
213,"San Luis Obispo-Paso Robles-Arroyo Grande, CA","9,329","$9,606,548 ","$115,278,576 ","2,423","$2,350,310 ","$28,203,720 ","3,412",3412,"$40,207,760 ","$39,712,968 ",$970 ,"$2,913,001 ",30,"15,156","$13,610,858 ","$163,330,296 ","2,423","$2,350,310 ","$28,203,720 ","5,535",5535,"$57,595,388 ","$64,425,804 ",$970 ,"$4,725,721 ",50
214,"Santa Cruz-Watsonville, CA","12,259","$12,771,853 ","$153,262,236 ","4,854","$7,732,422 ","$92,789,064 ","4,658",4658,"$52,938,604 ","$89,040,688 ","$1,593 ","$3,976,974 ",30,"18,804","$17,245,988 ","$206,951,856 ","4,854","$7,732,422 ","$92,789,064 ","7,153",7153,"$73,954,784 ","$136,738,240 ","$1,593 ","$6,107,370 ",50
215,"Santa Fe, NM","3,492","$2,072,698 ","$24,872,376 ","1,109","$784,063 ","$9,408,756 ","1,445",1445,"$9,229,788 ","$12,259,714 ",$707 ,"$1,233,789 ",30,"6,007","$3,308,477 ","$39,701,724 ","1,109","$784,063 ","$9,408,756 ","2,417",2417,"$14,564,141 ","$20,506,832 ",$707 ,"$2,063,760 ",50
216,"Santa Maria-Santa Barbara, CA","17,236","$15,837,556 ","$190,050,672 ","6,845","$8,864,275 ","$106,371,300 ","6,709",6709,"$71,526,992 ","$104,263,456 ","$1,295 ","$5,728,519 ",30,"30,890","$25,382,596 ","$304,591,152 ","6,845","$8,864,275 ","$106,371,300 ","11,801",11801,"$114,273,328 ","$183,385,632 ","$1,295 ","$10,075,707 ",50
217,"Santa Rosa, CA","13,896","$12,565,715 ","$150,788,580 ","4,930","$5,930,790 ","$71,169,480 ","5,848",5848,"$55,648,440 ","$84,421,504 ","$1,203 ","$4,993,068 ",30,"26,069","$20,609,116 ","$247,309,392 ","4,930","$5,930,790 ","$71,169,480 ","10,491",10491,"$90,297,856 ","$151,443,920 ","$1,203 ","$8,957,074 ",50
218,"Scranton--Wilkes-Barre--Hazleton, PA","17,773","$8,663,700 ","$103,964,400 ","5,039","$2,625,319 ","$31,503,828 ","6,843",6843,"$35,463,808 ","$42,781,912 ",$521 ,"$5,842,551 ",30,"27,601","$12,028,708 ","$144,344,496 ","5,039","$2,625,319 ","$31,503,828 ","11,128",11128,"$51,447,844 ","$69,574,432 ",$521 ,"$9,501,495 ",50
219,"Seattle-Tacoma-Bellevue, WA","126,070","$100,730,168 ","$1,208,762,016 ","37,481","$41,191,619 ","$494,299,428 ","62,550",62550,"$542,189,952 ","$824,912,256 ","$1,099 ","$53,406,000 ",30,"221,162","$156,769,952 ","$1,881,239,424 ","37,481","$41,191,619 ","$494,299,428 ","105,696",105696,"$837,852,224 ","$1,393,917,312 ","$1,099 ","$90,244,200 ",50
220,"Sebastian-Vero Beach, FL","2,189","$1,434,639 ","$17,215,668 ",389,"$214,339 ","$2,572,068 ",912,912,"$6,655,012 ","$6,029,646 ",$551 ,"$778,610 ",30,"4,451","$2,299,174 ","$27,590,088 ",389,"$214,339 ","$2,572,068 ","1,862",1862,"$10,869,450 ","$12,314,825 ",$551 ,"$1,590,218 ",50
