State,Households_Served_Expected_to_Use_Voucher_30_NUMERIC,Households_Served_Expected_to_Use_Voucher_30,Percent_of_Vouchers_30,Annual_Cost_of_Vouchers_30,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_30,HUD_Average_Monthly_Expenditure_per_Household_30,Annual_Administrative_Cost_30,Total_Eligible_Households_30,Total_Eligible_Households_30_NUMERIC,Total_Annual_Cost_of_Vouchers_30,Total_Monthly_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Total_Annual_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Actual_Number_of_Vouchers_Available_2020_30,Actual_Number_of_Vouchers_Available_2020_30_NUMERIC,Estimated_Monthly_Expenditure_30,Estimated_Annual_Expenditure_30,Households_Served_Expected_to_Use_Voucher_50_NUMERIC,Households_Served_Expected_to_Use_Voucher_50,Percent_of_Vouchers_50,Annual_Cost_of_Vouchers_50,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_50,HUD_Average_Monthly_Expenditure_per_Household_50,Annual_Administrative_Cost_50,Total_Eligible_Households_50,Total_Eligible_Households_50_NUMERIC,Total_Annual_Cost_of_Vouchers_50,Total_Monthly_Cost_of_Vouchers_if_Only_Renters_Participate_50,Total_Annual_Cost_of_Vouchers_if_Only_Renters_Participate_50,Actual_Number_of_Vouchers_Available_2020_50,Actual_Number_of_Vouchers_Available_2020_50_NUMERIC,Estimated_Monthly_Expenditure_50,Estimated_Annual_Expenditure_50,Voucher_Gap_30,Actual_HUD_Avg_Monthly_Expenditure_per_HH_by_State,Actual_Estimated_Annual_Expenditure,Voucher_Gap_50
Georgia,109381,"109,381",2.80%,"$672,585,664 ","$990,993,600 ",$755 ,"$93,390,760 ","309,105",309105,"$3,509,748,864 ","$182,070,656 ","$2,184,847,872 ","67,839",67839,"$51,218,445 ","$614,621,340 ",185442,"185,442",2.90%,"$1,020,267,712 ","$1,680,100,096 ",$755 ,"$158,331,824 ","532,695",532695,"$5,688,488,832 ","$274,079,360 ","$3,288,952,320 ","67,839",67839,"$51,218,445 ","$614,621,340 ",241266,$755 ,"$614,621,340 ",464856
Hawaii,16916,"16,916",0.40%,"$151,918,144 ","$248,468,272 ","$1,224 ","$14,443,402 ","40,832",40832,"$700,961,952 ","$36,393,444 ","$436,721,328 ","13,717",13717,"$16,789,608 ","$201,475,296 ",28818,"28,818",0.50%,"$264,582,304 ","$423,284,288 ","$1,224 ","$24,605,416 ","73,018",73018,"$1,261,571,712 ","$64,741,152 ","$776,893,824 ","13,717",13717,"$16,789,608 ","$201,475,296 ",27115,"$1,224 ","$201,475,296 ",59301
Idaho,15204,"15,204",0.40%,"$87,041,536 ","$107,645,040 ",$590 ,"$12,981,414 ","40,567",40567,"$457,528,272 ","$20,871,492 ","$250,457,904 ","7,625",7625,"$4,498,750 ","$53,985,000 ",27227,"27,227",0.40%,"$133,948,112 ","$192,766,576 ",$590 ,"$23,246,614 ","72,396",72396,"$776,211,312 ","$31,819,618 ","$381,835,416 ","7,625",7625,"$4,498,750 ","$53,985,000 ",32942,$590 ,"$53,985,000 ",64771
Illinois,157524,"157,524",4.00%,"$1,075,478,272 ","$1,621,867,776 ",$858 ,"$134,495,616 ","399,826",399826,"$4,762,768,896 ","$246,779,536 ","$2,961,354,432 ","111,768",111768,"$95,896,944 ","$1,150,763,328 ",255043,"255,043",3.90%,"$1,579,023,488 ","$2,625,921,792 ",$858 ,"$217,758,176 ","640,165",640165,"$7,450,285,056 ","$353,500,448 ","$4,242,005,376 ","111,768",111768,"$95,896,944 ","$1,150,763,328 ",288058,$858 ,"$1,150,763,328 ",528397
Indiana,76652,"76,652",1.90%,"$433,930,240 ","$347,692,608 ",$378 ,"$65,446,084 ","199,254",199254,"$1,916,421,312 ","$104,073,928 ","$1,248,887,136 ","43,050",43050,"$16,272,900 ","$195,274,800 ",132461,"132,461",2.10%,"$651,132,800 ","$600,841,920 ",$378 ,"$113,096,296 ","340,049",340049,"$3,144,484,032 ","$151,934,880 ","$1,823,218,560 ","43,050",43050,"$16,272,900 ","$195,274,800 ",156204,$378 ,"$195,274,800 ",296999
Iowa,35939,"35,939",0.90%,"$195,013,664 ","$189,327,280 ",$439 ,"$30,685,180 ","95,565",95565,"$902,914,176 ","$47,497,836 ","$569,974,032 ","23,603",23603,"$10,361,717 ","$124,340,604 ",61568,"61,568",1.00%,"$307,113,728 ","$324,340,448 ",$439 ,"$52,567,412 ","162,579",162579,"$1,588,966,272 ","$72,613,592 ","$871,363,104 ","23,603",23603,"$10,361,717 ","$124,340,604 ",71962,$439 ,"$124,340,604 ",138976
Kansas,33122,"33,122",0.80%,"$173,558,304 ","$207,078,144 ",$521 ,"$28,279,814 ","86,368",86368,"$791,244,720 ","$42,123,236 ","$505,478,832 ","13,749",13749,"$7,163,229 ","$85,958,748 ",58277,"58,277",0.90%,"$282,953,984 ","$364,349,056 ",$521 ,"$49,757,656 ","152,167",152167,"$1,361,996,832 ","$66,381,144 ","$796,573,728 ","13,749",13749,"$7,163,229 ","$85,958,748 ",72619,$521 ,"$85,958,748 ",138418
Kentucky,54229,"54,229",1.40%,"$239,342,576 ","$332,531,424 ",$511 ,"$46,301,148 ","137,666",137666,"$1,192,242,048 ","$60,491,448 ","$725,897,376 ","38,255",38255,"$19,548,305 ","$234,579,660 ",88310,"88,310",1.40%,"$351,014,176 ","$541,514,112 ",$511 ,"$75,399,568 ","223,316",223316,"$1,915,566,336 ","$87,142,912 ","$1,045,714,944 ","38,255",38255,"$19,548,305 ","$234,579,660 ",99411,$511 ,"$234,579,660 ",185061
Louisiana,63239,"63,239",1.60%,"$338,973,152 ","$528,172,544 ",$696 ,"$53,994,132 ","162,877",162877,"$1,594,921,920 ","$86,920,896 ","$1,043,050,752 ","57,575",57575,"$40,072,200 ","$480,866,400 ",96707,"96,707",1.50%,"$467,188,256 ","$807,693,184 ",$696 ,"$82,569,032 ","245,283",245283,"$2,329,118,592 ","$117,029,504 ","$1,404,354,048 ","57,575",57575,"$40,072,200 ","$480,866,400 ",105302,$696 ,"$480,866,400 ",187708
Maine,15274,"15,274",0.40%,"$67,807,048 ","$131,417,720 ",$717 ,"$13,041,116 ","37,091",37091,"$367,279,224 ","$16,156,982 ","$193,883,784 ","13,716",13716,"$9,834,372 ","$118,012,464 ",26707,"26,707",0.40%,"$108,247,344 ","$229,789,712 ",$717 ,"$22,802,970 ","63,770",63770,"$655,949,472 ","$25,003,052 ","$300,036,624 ","13,716",13716,"$9,834,372 ","$118,012,464 ",23375,$717 ,"$118,012,464 ",50054
