State,Households_Served_Expected_to_Use_Voucher_30_NUMERIC,Households_Served_Expected_to_Use_Voucher_30,Percent_of_Vouchers_30,Annual_Cost_of_Vouchers_30,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_30,HUD_Average_Monthly_Expenditure_per_Household_30,Annual_Administrative_Cost_30,Total_Eligible_Households_30,Total_Eligible_Households_30_NUMERIC,Total_Annual_Cost_of_Vouchers_30,Total_Monthly_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Total_Annual_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Actual_Number_of_Vouchers_Available_2020_30,Actual_Number_of_Vouchers_Available_2020_30_NUMERIC,Estimated_Monthly_Expenditure_30,Estimated_Annual_Expenditure_30,Households_Served_Expected_to_Use_Voucher_50_NUMERIC,Households_Served_Expected_to_Use_Voucher_50,Percent_of_Vouchers_50,Annual_Cost_of_Vouchers_50,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_50,HUD_Average_Monthly_Expenditure_per_Household_50,Annual_Administrative_Cost_50,Total_Eligible_Households_50,Total_Eligible_Households_50_NUMERIC,Total_Annual_Cost_of_Vouchers_50,Total_Monthly_Cost_of_Vouchers_if_Only_Renters_Participate_50,Total_Annual_Cost_of_Vouchers_if_Only_Renters_Participate_50,Actual_Number_of_Vouchers_Available_2020_50,Actual_Number_of_Vouchers_Available_2020_50_NUMERIC,Estimated_Monthly_Expenditure_50,Estimated_Annual_Expenditure_50,Voucher_Gap_30,Actual_HUD_Avg_Monthly_Expenditure_per_HH_by_State,Actual_Estimated_Annual_Expenditure,Voucher_Gap_50
South Carolina,55901,"55,901",1.40%,"$308,253,792 ","$403,826,880 ",$602 ,"$47,728,604 ","139,601",139601,"$1,588,025,088 ","$76,483,480 ","$917,801,760 ","28,853",28853,"$17,369,506 ","$208,434,072 ",89091,"89,091",1.40%,"$448,578,720 ","$643,596,224 ",$602 ,"$76,067,120 ","224,546",224546,"$2,524,452,864 ","$109,344,120 ","$1,312,129,440 ","28,853",28853,"$17,369,506 ","$208,434,072 ",110748,$602 ,"$208,434,072 ",195693
South Dakota,10030,"10,030",0.30%,"$50,913,352 ","$61,863,884 ",$514 ,"$8,563,554 ","24,696",24696,"$215,364,360 ","$11,535,612 ","$138,427,344 ","6,753",6753,"$3,471,042 ","$41,652,504 ",18477,"18,477",0.30%,"$87,042,232 ","$113,968,944 ",$514 ,"$15,776,236 ","45,620",45620,"$403,434,144 ","$19,182,526 ","$230,190,312 ","6,753",6753,"$3,471,042 ","$41,652,504 ",17943,$514 ,"$41,652,504 ",38867
Tennessee,78424,"78,424",2.00%,"$412,219,808 ","$574,065,216 ",$610 ,"$66,959,368 ","205,994",205994,"$1,977,586,944 ","$103,867,928 ","$1,246,415,136 ","39,382",39382,"$24,023,020 ","$288,276,240 ",125984,"125,984",2.00%,"$594,294,912 ","$922,202,432 ",$610 ,"$107,566,344 ","326,539",326539,"$3,110,203,776 ","$146,631,040 ","$1,759,572,480 ","39,382",39382,"$24,023,020 ","$288,276,240 ",166612,$610 ,"$288,276,240 ",287157
Texas,309690,"309,690",7.90%,"$2,014,185,216 ","$2,798,360,832 ",$753 ,"$264,416,608 ","832,922",832922,"$9,439,803,648 ","$504,851,904 ","$6,058,222,848 ","174,152",174152,"$131,136,456 ","$1,573,637,472 ",515461,"515,461",8.00%,"$3,024,797,440 ","$4,657,709,568 ",$753 ,"$440,106,144 ","1,410,497",1410497,"$15,279,475,200 ","$754,569,728 ","$9,054,836,736 ","174,152",174152,"$131,136,456 ","$1,573,637,472 ",658770,$753 ,"$1,573,637,472 ",1236345
Utah,20670,"20,670",0.50%,"$133,406,632 ","$178,340,928 ",$719 ,"$17,648,270 ","55,591",55591,"$686,370,768 ","$33,011,446 ","$396,137,352 ","12,521",12521,"$9,002,599 ","$108,031,188 ",36371,"36,371",0.60%,"$209,340,880 ","$313,805,920 ",$719 ,"$31,053,620 ","100,532",100532,"$1,164,918,624 ","$51,812,724 ","$621,752,688 ","12,521",12521,"$9,002,599 ","$108,031,188 ",43070,$719 ,"$108,031,188 ",88011
Vermont,7618,"7,618",0.20%,"$47,876,764 ","$73,128,760 ",$800 ,"$6,503,965 ","18,647",18647,"$253,876,512 ","$10,962,533 ","$131,550,396 ","8,168",8168,"$6,534,400 ","$78,412,800 ",13073,"13,073",0.20%,"$70,701,080 ","$125,496,384 ",$800 ,"$11,161,465 ","32,516",32516,"$445,843,968 ","$16,231,090 ","$194,773,080 ","8,168",8168,"$6,534,400 ","$78,412,800 ",10479,$800 ,"$78,412,800 ",24348
Virginia,91438,"91,438",2.30%,"$674,148,096 ","$894,261,376 ",$815 ,"$78,070,480 ","237,337",237337,"$3,221,817,984 ","$164,046,080 ","$1,968,552,960 ","56,981",56981,"$46,439,515 ","$557,274,180 ",150053,"150,053",2.30%,"$1,010,502,848 ","$1,467,515,520 ",$815 ,"$128,116,512 ","394,156",394156,"$5,336,030,208 ","$245,424,528 ","$2,945,094,336 ","56,981",56981,"$46,439,515 ","$557,274,180 ",180356,$815 ,"$557,274,180 ",337175
Washington,101688,"101,688",2.60%,"$790,165,376 ","$1,140,937,344 ",$935 ,"$86,822,072 ","229,501",229501,"$3,090,990,336 ","$160,358,528 ","$1,924,302,336 ","61,873",61873,"$57,851,255 ","$694,215,060 ",173243,"173,243",2.70%,"$1,226,450,560 ","$1,943,788,928 ",$935 ,"$147,916,800 ","399,521",399521,"$5,185,118,976 ","$248,370,640 ","$2,980,447,680 ","61,873",61873,"$57,851,255 ","$694,215,060 ",167628,$935 ,"$694,215,060 ",337648
West Virginia,19737,"19,737",0.50%,"$85,127,184 ","$119,604,848 ",$505 ,"$16,851,454 ","48,141",48141,"$431,347,920 ","$22,212,594 ","$266,551,128 ","15,851",15851,"$8,004,755 ","$96,057,060 ",32888,"32,888",0.50%,"$123,637,440 ","$199,300,496 ",$505 ,"$28,079,994 ","78,129",78129,"$708,408,864 ","$31,164,324 ","$373,971,888 ","15,851",15851,"$8,004,755 ","$96,057,060 ",32290,$505 ,"$96,057,060 ",62278
Wisconsin,68199,"68,199",1.70%,"$385,747,392 ","$433,745,440 ",$530 ,"$58,228,960 ","178,004",178004,"$1,707,752,064 ","$90,677,576 ","$1,088,130,912 ","32,830",32830,"$17,399,900 ","$208,798,800 ",123251,"123,251",1.90%,"$626,003,776 ","$783,875,136 ",$530 ,"$105,232,768 ","319,301",319301,"$2,995,886,592 ","$142,908,896 ","$1,714,906,752 ","32,830",32830,"$17,399,900 ","$208,798,800 ",145174,$530 ,"$208,798,800 ",286471
Wyoming,5978,"5,978",0.20%,"$30,286,104 ","$35,654,528 ",$497 ,"$5,104,325 ","14,825",14825,"$157,965,312 ","$7,355,265 ","$88,263,180 ","2,692",2692,"$1,337,924 ","$16,055,088 ",10375,"10,375",0.20%,"$46,951,480 ","$61,876,368 ",$497 ,"$8,858,260 ","26,078",26078,"$272,483,424 ","$11,372,720 ","$136,472,640 ","2,692",2692,"$1,337,924 ","$16,055,088 ",12133,$497 ,"$16,055,088 ",23386
